"filename", "language", "Go Checksum File", "Markdown", "Go", "Go Module File", "comment", "blank", "total"
"d:\Projects\go\algorithm-go\leetcode\dynamics\uniquepaths.go", "Go", 0, 0, 45, 0, 0, 10, 55
"d:\Projects\go\algorithm-go\leetcode\dynamics\uniquepaths_test.go", "Go", 0, 0, 17, 0, 0, 5, 22
"d:\Projects\go\algorithm-go\leetcode\dynamics\wordbreak.go", "Go", 0, 0, 19, 0, 1, 6, 26
"d:\Projects\go\algorithm-go\leetcode\dynamics\wordbreak_test.go", "Go", 0, 0, 45, 0, 1, 3, 49
"d:\Projects\go\algorithm-go\leetcode\lists\constant.go", "Go", 0, 0, 3, 0, 0, 3, 6
"d:\Projects\go\algorithm-go\leetcode\lists\copyrandomlist.go", "Go", 0, 0, 30, 0, 56, 11, 97
"d:\Projects\go\algorithm-go\leetcode\lists\copyrandomlist_test.go", "Go", 0, 0, 32, 0, 0, 8, 40
"d:\Projects\go\algorithm-go\leetcode\lists\deleteduplicates.go", "Go", 0, 0, 36, 0, 31, 9, 76
"d:\Projects\go\algorithm-go\leetcode\lists\deleteduplicates_test.go", "Go", 0, 0, 18, 0, 0, 6, 24
"d:\Projects\go\algorithm-go\leetcode\lists\detectcycle.go", "Go", 0, 0, 20, 0, 17, 6, 43
"d:\Projects\go\algorithm-go\leetcode\lists\detectcycle_test.go", "Go", 0, 0, 11, 0, 0, 3, 14
"d:\Projects\go\algorithm-go\leetcode\lists\hascycle.go", "Go", 0, 0, 17, 0, 19, 5, 41
"d:\Projects\go\algorithm-go\leetcode\lists\hascycle_test.go", "Go", 0, 0, 11, 0, 0, 3, 14
"d:\Projects\go\algorithm-go\leetcode\lists\ispalindrome.go", "Go", 0, 0, 27, 0, 58, 9, 94
"d:\Projects\go\algorithm-go\leetcode\lists\ispalindrome_test.go", "Go", 0, 0, 10, 0, 0, 3, 13
"d:\Projects\go\algorithm-go\leetcode\lists\mergetwolists.go", "Go", 0, 0, 26, 0, 18, 7, 51
"d:\Projects\go\algorithm-go\leetcode\lists\mergetwolists_test.go", "Go", 0, 0, 14, 0, 0, 5, 19
"d:\Projects\go\algorithm-go\leetcode\lists\partition.go", "Go", 0, 0, 28, 0, 0, 6, 34
"d:\Projects\go\algorithm-go\leetcode\lists\partition_test.go", "Go", 0, 0, 13, 0, 0, 4, 17
"d:\Projects\go\algorithm-go\leetcode\lists\reorderlist.go", "Go", 0, 0, 38, 0, 45, 13, 96
"d:\Projects\go\algorithm-go\leetcode\lists\reorderlist_test.go", "Go", 0, 0, 11, 0, 0, 3, 14
"d:\Projects\go\algorithm-go\leetcode\lists\reverselist.go", "Go", 0, 0, 35, 0, 44, 11, 90
"d:\Projects\go\algorithm-go\leetcode\lists\reverselist_test.go", "Go", 0, 0, 24, 0, 0, 8, 32
"d:\Projects\go\algorithm-go\leetcode\lists\sortlist.go", "Go", 0, 0, 42, 0, 44, 11, 97
"d:\Projects\go\algorithm-go\leetcode\lists\sortlist_test.go", "Go", 0, 0, 13, 0, 0, 4, 17
"d:\Projects\go\algorithm-go\leetcode\queues\clonegraph.go", "Go", 0, 0, 37, 0, 0, 11, 48
"d:\Projects\go\algorithm-go\leetcode\queues\clonegraph_test.go", "Go", 0, 0, 24, 0, 0, 7, 31
"d:\Projects\go\algorithm-go\leetcode\queues\numislands.go", "Go", 0, 0, 42, 0, 38, 10, 90
"d:\Projects\go\algorithm-go\leetcode\queues\numislands_test.go", "Go", 0, 0, 15, 0, 0, 5, 20
"d:\Projects\go\algorithm-go\leetcode\queues\stackqueue.go", "Go", 0, 0, 52, 0, 0, 15, 67
"d:\Projects\go\algorithm-go\leetcode\queues\stackqueue_test.go", "Go", 0, 0, 13, 0, 0, 3, 16
"d:\Projects\go\algorithm-go\leetcode\queues\updatematrix.go", "Go", 0, 0, 41, 0, 0, 8, 49
"d:\Projects\go\algorithm-go\leetcode\queues\updatematrix_test.go", "Go", 0, 0, 18, 0, 0, 5, 23
"d:\Projects\go\algorithm-go\leetcode\recurs\constant.go", "Go", 0, 0, 7, 0, 1, 3, 11
"d:\Projects\go\algorithm-go\leetcode\recurs\fibonacci.go", "Go", 0, 0, 14, 0, 7, 7, 28
"d:\Projects\go\algorithm-go\leetcode\recurs\fibonacci_test.go", "Go", 0, 0, 34, 0, 1, 3, 38
"d:\Projects\go\algorithm-go\leetcode\recurs\generatetrees.go", "Go", 0, 0, 29, 0, 8, 9, 46
"d:\Projects\go\algorithm-go\leetcode\recurs\generatetrees_test.go", "Go", 0, 0, 14, 0, 0, 3, 17
"d:\Projects\go\algorithm-go\leetcode\recurs\reversestr.go", "Go", 0, 0, 8, 0, 0, 3, 11
"d:\Projects\go\algorithm-go\leetcode\recurs\reversestr_test.go", "Go", 0, 0, 23, 0, 1, 3, 27
"d:\Projects\go\algorithm-go\leetcode\recurs\swappairs.go", "Go", 0, 0, 13, 0, 7, 4, 24
"d:\Projects\go\algorithm-go\leetcode\recurs\swappairs_test.go", "Go", 0, 0, 12, 0, 0, 5, 17
"d:\Projects\go\algorithm-go\leetcode\searchs\binarysearch.go", "Go", 0, 0, 54, 0, 3, 15, 72
"d:\Projects\go\algorithm-go\leetcode\searchs\binarysearch_test.go", "Go", 0, 0, 20, 0, 0, 8, 28
"d:\Projects\go\algorithm-go\leetcode\searchs\findmin.go", "Go", 0, 0, 39, 0, 0, 10, 49
"d:\Projects\go\algorithm-go\leetcode\searchs\findmin_test.go", "Go", 0, 0, 15, 0, 0, 6, 21
"d:\Projects\go\algorithm-go\leetcode\searchs\firstbadversion.go", "Go", 0, 0, 23, 0, 0, 9, 32
"d:\Projects\go\algorithm-go\leetcode\searchs\firstbadversion_test.go", "Go", 0, 0, 11, 0, 0, 5, 16
"d:\Projects\go\algorithm-go\leetcode\searchs\searchInsert.go", "Go", 0, 0, 18, 0, 0, 6, 24
"d:\Projects\go\algorithm-go\leetcode\searchs\searchInsert_test.go", "Go", 0, 0, 10, 0, 0, 4, 14
"d:\Projects\go\algorithm-go\leetcode\searchs\searchmatrix.go", "Go", 0, 0, 29, 0, 0, 11, 40
"d:\Projects\go\algorithm-go\leetcode\searchs\searchmatrix_test.go", "Go", 0, 0, 14, 0, 0, 4, 18
"d:\Projects\go\algorithm-go\leetcode\searchs\searchrotated.go", "Go", 0, 0, 75, 0, 0, 17, 92
"d:\Projects\go\algorithm-go\leetcode\searchs\searchrotated_test.go", "Go", 0, 0, 15, 0, 0, 6, 21
"d:\Projects\go\algorithm-go\leetcode\slides\checkinclusion.go", "Go", 0, 0, 25, 0, 0, 8, 33
"d:\Projects\go\algorithm-go\leetcode\slides\checkinclusion_test.go", "Go", 0, 0, 53, 0, 1, 3, 57
"d:\Projects\go\algorithm-go\leetcode\slides\findanagrams.go", "Go", 0, 0, 24, 0, 0, 7, 31
"d:\Projects\go\algorithm-go\leetcode\slides\findanagrams_test.go", "Go", 0, 0, 48, 0, 1, 3, 52
"d:\Projects\go\algorithm-go\leetcode\slides\longestsubs.go", "Go", 0, 0, 25, 0, 0, 8, 33
"d:\Projects\go\algorithm-go\leetcode\slides\longestsubs_test.go", "Go", 0, 0, 55, 0, 1, 3, 59
"d:\Projects\go\algorithm-go\leetcode\sorts\heapsort.go", "Go", 0, 0, 29, 0, 0, 7, 36
"d:\Projects\go\algorithm-go\leetcode\sorts\heapsort_test.go", "Go", 0, 0, 10, 0, 0, 4, 14
"d:\Projects\go\algorithm-go\leetcode\sorts\mergesort.go", "Go", 0, 0, 35, 0, 0, 9, 44
"d:\Projects\go\algorithm-go\leetcode\sorts\mergesort_test.go", "Go", 0, 0, 10, 0, 0, 4, 14
"d:\Projects\go\algorithm-go\leetcode\sorts\quicksort.go", "Go", 0, 0, 26, 0, 0, 5, 31
"d:\Projects\go\algorithm-go\leetcode\sorts\quicksort_test.go", "Go", 0, 0, 10, 0, 0, 4, 14
"d:\Projects\go\algorithm-go\leetcode\stacks\decodestring.go", "Go", 0, 0, 66, 0, 6, 17, 89
"d:\Projects\go\algorithm-go\leetcode\stacks\decodestring_test.go", "Go", 0, 0, 9, 0, 0, 3, 12
"d:\Projects\go\algorithm-go\leetcode\stacks\evalrpn.go", "Go", 0, 0, 26, 0, 0, 6, 32
"d:\Projects\go\algorithm-go\leetcode\stacks\evalrpn_test.go", "Go", 0, 0, 9, 0, 0, 3, 12
"d:\Projects\go\algorithm-go\leetcode\stacks\largestrectanglearea.go", "Go", 0, 0, 34, 0, 34, 12, 80
"d:\Projects\go\algorithm-go\leetcode\stacks\largestrectanglearea_test.go", "Go", 0, 0, 10, 0, 0, 4, 14
"d:\Projects\go\algorithm-go\leetcode\stacks\ministack.go", "Go", 0, 0, 42, 0, 45, 13, 100
"d:\Projects\go\algorithm-go\leetcode\stacks\ministack_test.go", "Go", 0, 0, 15, 0, 0, 3, 18
"d:\Projects\go\algorithm-go\leetcode\trees\constant.go", "Go", 0, 0, 7, 0, 0, 4, 11
"d:\Projects\go\algorithm-go\leetcode\trees\delnode.go", "Go", 0, 0, 25, 0, 0, 5, 30
"d:\Projects\go\algorithm-go\leetcode\trees\delnode_test.go", "Go", 0, 0, 13, 0, 0, 4, 17
"d:\Projects\go\algorithm-go\leetcode\trees\insertintobst.go", "Go", 0, 0, 55, 0, 0, 13, 68
"d:\Projects\go\algorithm-go\leetcode\trees\insertintobst_test.go", "Go", 0, 0, 20, 0, 0, 6, 26
"d:\Projects\go\algorithm-go\leetcode\trees\isbalanced.go", "Go", 0, 0, 26, 0, 0, 9, 35
"d:\Projects\go\algorithm-go\leetcode\trees\isbalanced_test.go", "Go", 0, 0, 37, 0, 1, 3, 41
"d:\Projects\go\algorithm-go\leetcode\trees\isvalidbst.go", "Go", 0, 0, 43, 0, 1, 14, 58
"d:\Projects\go\algorithm-go\leetcode\trees\isvalidbst_test.go", "Go", 0, 0, 83, 0, 2, 4, 89
"d:\Projects\go\algorithm-go\main.go", "Go", 0, 0, 13, 0, 0, 3, 16
"d:\Projects\go\algorithm-go\offer\arrays\findmin.go", "Go", 0, 0, 15, 0, 0, 5, 20
"d:\Projects\go\algorithm-go\offer\arrays\findmin_test.go", "Go", 0, 0, 27, 0, 8, 3, 38
"d:\Projects\go\algorithm-go\offer\arrays\findrepeatnum.go", "Go", 0, 0, 11, 0, 0, 4, 15
"d:\Projects\go\algorithm-go\offer\arrays\findrepeatnum_test.go", "Go", 0, 0, 27, 0, 1, 3, 31
"d:\Projects\go\algorithm-go\offer\lists\constant.go", "Go", 0, 0, 5, 0, 0, 4, 9
"d:\Projects\go\algorithm-go\offer\lists\copyrandomlist.go", "Go", 0, 0, 45, 0, 0, 13, 58
"d:\Projects\go\algorithm-go\offer\lists\copyrandomlist_test.go", "Go", 0, 0, 32, 0, 0, 8, 40
"d:\Projects\go\algorithm-go\offer\lists\reverselist.go", "Go", 0, 0, 31, 0, 0, 12, 43
"d:\Projects\go\algorithm-go\offer\lists\reverselist_test.go", "Go", 0, 0, 10, 0, 0, 4, 14
"d:\Projects\go\algorithm-go\offer\lists\reverseprint.go", "Go", 0, 0, 26, 0, 0, 9, 35
"d:\Projects\go\algorithm-go\offer\lists\reverseprint_test.go", "Go", 0, 0, 31, 0, 1, 3, 35
"d:\Projects\go\algorithm-go\offer\queues\cqueue.go", "Go", 0, 0, 32, 0, 0, 11, 43
"d:\Projects\go\algorithm-go\offer\queues\cqueue_test.go", "Go", 0, 0, 15, 0, 0, 6, 21
"d:\Projects\go\algorithm-go\offer\searchs\missingnum.go", "Go", 0, 0, 31, 0, 0, 8, 39
"d:\Projects\go\algorithm-go\offer\searchs\missingnum_test.go", "Go", 0, 0, 27, 0, 8, 3, 38
"d:\Projects\go\algorithm-go\offer\searchs\search.go", "Go", 0, 0, 65, 0, 0, 17, 82
"d:\Projects\go\algorithm-go\offer\searchs\search_test.go", "Go", 0, 0, 37, 0, 1, 3, 41
"d:\Projects\go\algorithm-go\offer\searchs\searchmat.go", "Go", 0, 0, 47, 0, 0, 12, 59
"d:\Projects\go\algorithm-go\offer\searchs\searchmat_test.go", "Go", 0, 0, 35, 0, 1, 3, 39
"d:\Projects\go\algorithm-go\offer\stacks\minstack.go", "Go", 0, 0, 41, 0, 0, 14, 55
"d:\Projects\go\algorithm-go\offer\stacks\minstack_test.go", "Go", 0, 0, 15, 0, 0, 3, 18
"d:\Projects\go\algorithm-go\offer\strings\finduniqchar.go", "Go", 0, 0, 25, 0, 0, 8, 33
"d:\Projects\go\algorithm-go\offer\strings\finduniqchar_test.go", "Go", 0, 0, 27, 0, 1, 3, 31
"d:\Projects\go\algorithm-go\offer\strings\replacespace.go", "Go", 0, 0, 16, 0, 1, 4, 21
"d:\Projects\go\algorithm-go\offer\strings\replacespace_test.go", "Go", 0, 0, 27, 0, 1, 3, 31
"d:\Projects\go\algorithm-go\offer\strings\reverseleftwords.go", "Go", 0, 0, 6, 0, 6, 6, 18
"d:\Projects\go\algorithm-go\offer\strings\reverseleftwords_test.go", "Go", 0, 0, 29, 0, 1, 3, 33
"d:\Projects\go\algorithm-go\offer\trees\constant.go", "Go", 0, 0, 7, 0, 0, 4, 11
"d:\Projects\go\algorithm-go\offer\trees\inverttree.go", "Go", 0, 0, 10, 0, 0, 5, 15
"d:\Projects\go\algorithm-go\offer\trees\inverttree_test.go", "Go", 0, 0, 14, 0, 0, 4, 18
"d:\Projects\go\algorithm-go\offer\trees\issubstructure.go", "Go", 0, 0, 42, 0, 0, 14, 56
"d:\Projects\go\algorithm-go\offer\trees\issubstructure_test.go", "Go", 0, 0, 40, 0, 1, 3, 44
"d:\Projects\go\algorithm-go\offer\trees\issymmetric.go", "Go", 0, 0, 40, 0, 0, 12, 52
"d:\Projects\go\algorithm-go\offer\trees\issymmetric_test.go", "Go", 0, 0, 37, 0, 1, 3, 41
"d:\Projects\go\algorithm-go\offer\trees\levelorder.go", "Go", 0, 0, 92, 0, 0, 25, 117
"d:\Projects\go\algorithm-go\offer\trees\levelorder_test.go", "Go", 0, 0, 100, 0, 3, 5, 108
"d:\Projects\go\algorithm-go\structure\binarytree\binarytree.go", "Go", 0, 0, 118, 0, 2, 33, 153
"d:\Projects\go\algorithm-go\structure\binarytree\binarytree_test.go", "Go", 0, 0, 25, 0, 0, 11, 36
"d:\Projects\go\algorithm-go\structure\linkedlist\linkedlist.go", "Go", 0, 0, 55, 0, 0, 14, 69
"d:\Projects\go\algorithm-go\structure\linkedlist\linkedlist_test.go", "Go", 0, 0, 25, 0, 0, 8, 33
"Total", "-", 15, 3, 4504, 8, 660, 1083, 6273
